,topic_0,topic_1,topic_2,topic_3
TMEM159,8.595413e-06,1.9356397e-05,1.0464363e-09,1.2199914e-06
BRCA1,2.785068e-05,2.0598687e-05,7.4299216e-09,4.48516e-06
ERCC1,0.00057958986,1.7116131e-10,1.3653353e-10,7.2841365e-11
CD22,1.05678556e-10,2.7124777e-10,2.9755987e-10,1.1739566e-05
SEMA3B,2.6478112e-05,3.2658736e-05,2.2373686e-10,2.107578e-10
MBTPS2,3.7865873e-05,2.3364311e-05,1.5519555e-08,4.035126e-06
PRICKLE3,3.6307422e-06,1.3531926e-05,2.0661676e-06,8.022231e-07
EXTL3,4.179738e-05,9.551315e-05,7.9530355e-10,4.276524e-07
NR1H4,4.6429068e-05,2.4150701e-09,2.5094166e-10,1.8387951e-10
ELOVL5,4.056594e-06,6.961989e-07,6.628015e-05,4.3809963e-05
ALOX5,2.2223128e-10,5.7926187e-05,1.0777877e-05,2.5657811e-05
KDM5D,9.9830895e-06,1.0221917e-09,9.3072695e-06,4.506714e-06
CALCOCO1,1.648644e-06,1.2289233e-06,9.373975e-07,7.269064e-07
UBR7,9.680723e-06,4.4442213e-06,4.81489e-06,2.0070397e-06
MAP4K5,0.00030784722,1.0199073e-09,4.3297332e-05,1.3816873e-05
EHD3,6.314848e-10,2.6601965e-06,9.295976e-06,4.8104475e-06
PSMC4,3.6102305e-11,0.0007292652,5.4984697e-11,2.741813e-11
MAN2B2,8.458184e-06,2.9040953e-06,3.8538832e-07,5.427184e-06
MVP,4.74957e-11,9.5759664e-11,0.000807041,3.6079452e-11
NUB1,1.0245615e-05,3.186805e-05,1.92459e-05,2.180133e-05
PGM3,2.6413104e-06,6.32471e-06,1.8396285e-06,3.1862655e-06
CLK1,1.1238514e-05,4.5276356e-05,2.3208147e-05,3.5741035e-05
POLR3B,4.9556395e-05,7.652548e-06,6.927007e-07,9.0875565e-06
ANGEL1,6.189689e-05,1.1157755e-09,4.7146546e-05,2.639978e-10
RNF14,1.233158e-06,1.6964092e-06,2.615356e-07,4.7663733e-07
DNASE1L1,3.859895e-10,1.2132421e-08,5.960476e-06,8.224809e-07
DDX11,2.6115774e-09,1.0857365e-05,9.819302e-10,1.7000353e-06
HEBP1,3.6846817e-11,0.000834529,5.5430324e-11,2.7624635e-11
GPRC5A,9.626235e-11,0.00044825135,0.0015104668,1.6298032e-10
MAMLD1,2.201746e-05,1.4329438e-09,0.00015566414,3.9002066e-06
CD6,9.437455e-11,2.1082694e-10,1.873682e-10,3.2384472e-05
TACC3,6.4481187e-06,8.579517e-06,2.7962348e-09,2.0142139e-05
UFL1,3.3824832e-05,1.2226627e-05,3.760534e-06,1.5635842e-05
ZC3H3,2.2753618e-05,7.161386e-05,6.2960758e-06,1.0787749e-05
CAPN1,0.00040790247,9.501446e-11,7.322904e-11,3.7535447e-11
ACPP,1.7720266e-05,9.424812e-10,4.066029e-10,2.8027905e-10
SLC30A9,0.00012999034,7.958906e-05,2.8147873e-05,4.0861825e-05
CCDC88C,5.7989546e-10,1.749689e-05,1.5698265e-09,7.870557e-05
YAF2,1.2821932e-10,0.0010159985,1.7841463e-10,9.657978e-11
ZMYND11,6.8159045e-10,2.5037084e-10,0.0005287462,9.733559e-11
BID,1.7640273e-09,4.6067275e-05,4.9691695e-05,1.761869e-05
NPC1L1,2.8038705e-10,1.7455324e-05,2.6430813e-10,2.9458724e-10
XYLT2,4.8088973e-06,7.948866e-06,1.912849e-06,1.3162676e-06
NUDCD3,6.392767e-06,7.377246e-10,0.0005662917,1.7073084e-07
ISL1,2.8924285e-06,1.2851939e-06,1.6962198e-06,3.715317e-07
IL20RA,5.142122e-05,4.4498782e-10,1.7159212e-10,9.8515265e-11
GLT8D1,1.30757035e-05,6.743034e-06,3.3704932e-06,2.3572195e-06
ATP2C1,0.00028003356,0.00014209544,6.995973e-07,2.628564e-05
IGF1,1.2458937e-10,4.390894e-10,1.0655983e-06,3.0769631e-06
RALBP1,1.8866578e-05,4.281948e-05,1.0951582e-05,1.7551707e-05
RUFY3,0.0004598379,1.3095094e-09,8.937889e-05,1.3500796e-05
CNTN1,1.29492e-05,3.3561025e-09,3.2839853e-05,1.6453234e-06
SLC11A1,1.00372315e-10,5.191412e-10,1.7534241e-05,2.9462265e-06
WWTR1,0.001630993,2.8844013e-10,0.0002099778,9.213299e-11
AGPS,3.6189973e-05,8.267796e-05,2.3059825e-05,2.207448e-05
CXorf56,1.4370879e-05,1.3756852e-05,8.843287e-06,9.946588e-06
ATP1A2,2.0829842e-10,3.7039552e-10,2.4010435e-05,2.2437148e-06
TTC27,0.0001236242,1.9061612e-05,3.7093163e-05,3.6403864e-05
VSIG2,1.8784449e-10,4.8377287e-06,1.1993837e-05,3.22782e-10
PHLDB1,0.00025619022,1.3142529e-10,1.422044e-10,5.36344e-11
MARCO,8.2558495e-11,4.377064e-10,1.27107105e-05,4.2913935e-06
PRDM11,1.455336e-05,4.0769123e-06,2.928866e-06,1.7138868e-06
SYT13,3.9831033e-07,1.7164984e-05,3.0194955e-10,9.954122e-08
