topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31
HSPG2,SLC44A3,NOSTRIN,CD74,FAM122B,CAV1,AC092580.4,SOS2,ARHGAP27,CSDE1,MAPKAPK2,BNIP3L,XRCC6,LGALS3,C19orf48,H3F3A,PTTG1IP,PSAP,FAM98C,MPP6,PSPC1,VAMP8,CYB561,EZR,CASP3,CEBPZ,MAP7D1,GYG1,CAMTA1,C18orf32,SUCLG2,LGMN
CLIC4,NPY1R,CLPP,RPS25,TPRA1,FAM129B,NUBP1,NDUFAF1,PACS2,CTSS,DLC1,HECTD1,TRA2B,NFKBIA,LAMA4,SF3B6,TTC3,TXNIP,CIZ1,BTBD2,WDTC1,NAP1L1,MAN1B1,AHSA2,AP5M1,HPRT1,GTF2F1,MRPS30,MEAF6,MTA1,HNRNPR,CXXC5
WNK1,HOMER2,TRABD,RPL30,KLHL36,TFG,ALCAM,ZNF84,TRIO,CAPNS1,FBXO32,ARRDC3,PSMB7,COMMD6,TPST2,HSBP1,TALDO1,SKP1,UNC45A,RUFY3,GSKIP,CNBP,HERC1,TMPRSS4,CAMK2G,RHBDD2,SCAMP3,PCID2,TUBA1A,SUPT16H,VCAN,PARP1
LIFR,FGFR2,ANKRD12,RPS9,ASCC2,CFH,SIPA1L1,RRM1,KANK2,RBMX,PDGFRB,CHD4,ZFAND5,LAPTM4A,EXOC3,CLTA,MORF4L2,RPL22,BAMBI,SCGN,GIT2,BRK1,PARVB,UBE2D1,ARSA,MFSD1,NUB1,C1orf106,GNAI2,IMMP1L,FAM49B,LAMB2
TCF4,PDGFD,PLOD2,RPS20,CECR5,DDR1,MAN1A1,NFAT5,ATG13,METTL7A,COMP,BDH2,PSMD8,EPCAM,EXOSC7,SSBP1,XRCC5,BTF3,SOCS6,CADPS,EXOC4,RTN4,FOXA2,FGD4,FRG1CP,ZFAND1,FOPNL,ZCCHC11,NONO,KDM5B,CDC42SE2,TUBA1C
EMP2,CELF1,VAT1,RPL38,KIAA0100,PSMA5,PDE8A,CASP6,MATN2,SNRNP70,TMEM45A,PXN,RHOBTB3,NDUFA1,PLIN3,ZNF706,CYB5R3,HLA-DPB1,SIGMAR1,PANK3,AKIP1,SPCS2,GSS,GMDS,NR2C1,GCA,THRA,ANKLE2,SFT2D1,ANKRD36C,CNOT2,GBAS
IL6ST,WWC1,ATL3,RPL14,SLC2A14,MALL,FCHO2,GEMIN6,CEP95,TACC1,CRISPLD2,CUEDC2,SDHC,TSPAN8,NOL11,NPM1,PRKAR1A,GLTSCR2,KLHL28,CLUH,GFM1,PTGES3,HDAC3,PLEKHA5,NIFK-AS1,STARD7,VPS13C,UHMK1,NQO1,SNX4,LEPROTL1,QARS
FLT1,ITGB8,ACSM3,RPL41,THUMPD2,SLC9A3R1,USP36,LANCL1,SQLE,ACP1,COL11A1,ANXA11,NCOR1,PRDX5,CLDN12,EIF3F,SNRPB2,C14orf2,NR4A2,PHKB,PLEKHF2,SLIRP,TOR1A,SFT2D2,TAF13,MUC13,RAB40B,FAM229B,SEC11C,VEGFB,FYB,BBIP1
UTRN,HEG1,DHX29,HLA-B,PNPLA6,RNMT,SDCCAG8,ANKRD46,MX2,RAMP1,ILVBL,MBTPS1,GTF2A2,ENO1,THOC1,GP2,CARHSP1,RPL7,UHRF1BP1,BEX5,NF1,PDLIM1,SIK3,HNRNPH1,BAIAP2,HMG20B,FGFR1OP2,CLPX,RAB2A,TBC1D9B,UCP2,FAM32A
PITPNB,PBX3,C14orf105,S100A10,NCOA6,PPP1R12A,SH3BP5,FAM160B1,RNF220,UBE2I,SSBP2,DDX3X,PPP2R1A,SUB1,PTN,TM4SF4,HLA-DQA1,COX7B,FBXO4,FAM92A1,PEAK1,SCP2,SLC25A26,CBX1,LLPH,OARD1,MXI1,TBC1D17,MRPL18,DNAJB14,SORL1,USP16
EMCN,NFIC,LBR,MYL6,KIF1BP,HTRA1,YEATS4,PMS2,NAT9,ANXA3,NREP,C1orf198,MMP14,TMEM258,INPP5K,CEBPD,METAP2,ATP6V0E1,ANAPC7,SULT1A1,KIAA1143,ERRFI1,IARS,INF2,SRPRB,WDR34,WDR18,SPOP,PLPP2,ATPAF1,COQ4,VPS4B
SWAP70,NEDD4L,PFKP,RPS5,CUTC,PSMC1,DESI1,ANGEL2,MARC2,HIF1A,SULF1,ARGLU1,CNN3,HSP90B1,TNRC6A,SF1,NDUFS4,TMSB4X,GDE1,PARD3,CPSF1,SRSF3,MLLT10,TMED5,DNASE2,EPS8L1,CCNB1IP1,KCNJ3,BRD2,MCUR1,USP15,ARFGAP3
PDHB,CFAP221,RALB,COX7C,DCAF16,LRRFIP1,ACSL1,FASTKD2,FAM160A2,CELA2B,AXL,BAZ2B,UGT2A3,EIF3E,ENPP2,SH3BGRL,NDUFB5,CD9,ASPSCR1,DPYD,CAPN5,CTSH,INO80D,IFRD1,MS4A4A,CARD19,DNAJB12,RCN3,NECTIN2,MRPL9,PHF20,BAX
ELK3,HNF1B,ARRDC2,RPL6,PLK3,CRYZ,GLIPR1,PRKAB1,SIN3A,CTTN,FBN1,TCF7L2,PSMC3,SRGN,MESDC2,BCAP31,CTSC,VMP1,RRNAD1,SYT13,COPS4,AMY2B,TMEM184B,PTBP3,MTHFD1,LPCAT4,CX3CL1,TMEM223,PPP1CC,TCTN3,PPP1R18,RSL1D1
LAMB1,RP1-60O19.1,JAM2,PNLIP,STAG1,BCLAF1,IFNGR1,TRIM27,MFAP1,MAGOH,MIR100HG,MALSU1,CTSZ,SEC62,LONP1,COX20,LAMP2,PLVAP,ZNF680,FAM210B,VARS,HNRNPA3,HELZ,DMBT1,PLEKHF1,DDX39A,SLC50A1,OBFC1,ANP32A,LRRC8A,PARP8,ELOF1
C19orf66,DCDC2,ACTL6A,ANXA2,SMYD3,ZMAT2,PLCXD2,NUFIP2,PPP2R5E,DZIP1,FOXO3,DDX42,PPCS,ISG15,TRIM4,FCGRT,GTF3C6,TBCA,EXOC5,SEZ6L2,SESN1,REEP5,ERC1,PIGF,SGF29,EMC10,TMEM167B,CERS6,CFLAR,MED4,NR3C1,PDXDC1
NFIB,FARP1,MRPL37,CD63,CLUAP1,TGFBI,MARCKS,STAG3L3,DNAJA3,FAAP20,LTBP1,RARRES1,AKAP7,APP,CHD8,NCL,CCT6A,SEPW1,PECR,RBPJL,CH17-189H20.1,UBE2B,SPTLC2,STK3,PXK,CHMP5,NISCH,NSUN2,MAP3K13,SMUG1,EVL,TIMM17A
RIN2,MAGI1,CBWD2,SRP14,ALG11,NDUFS2,MAP3K8,FZR1,NCLN,PPP1R15A,SIRT2,RTCB,NFE2L2,ATPIF1,B3GNT7,HES1,PSMG2,LMNA,COG2,FBXL17,ZMYM4,TMEM219,SIN3B,PKN2,MAML2,CFAP97,DDX56,CHMP7,DSG2,AFG3L2,TFRC,LGALS9
LAMC1,CLIP1,RUVBL2,CST3,SMAD7,RNF130,MAFB,ILF3-AS1,BAP1,SERINC1,PLOD1,SZRD1,SF3B2,ANXA5,FCN3,VDAC2,C17orf89,DDX17,ACO1,RGN,MKL1,SERPINF1,RAPH1,NBEAL2,IFT57,TCIRG1,FAM198B,CDC34,AGPAT2,SNRK,OSBPL8,PAFAH1B1
CDH5,VTCN1,FRA10AC1,HSP90AA1,DCTN5,SEC61A1,ZEB2,TMTC4,SVIL-AS1,MRPL14,COL5A1,NEURL3,U2SURP,SNRPD2,TYK2,PRRC2C,WDR1,SNX3,FEM1B,RAB11FIP5,TCAIM,COL18A1,DIAPH2,SMIM14,POGK,PLLP,TWISTNB,COL17A1,TKT,UBE2G2,RBM6,ACAT1
PBDC1,GRB14,ENOPH1,LGALS1,CDC23,FSTL3,ZNF331,ZBTB20,ARIH1,PON2,ARHGEF7,FBP1,ERO1A,NDUFB4,FBRS,MRPL52,NOSIP,C19orf43,SLC37A1,RGS9,PATL1,OCIAD1,RNF111,IRAK1,FAM219B,MANBAL,MYO15B,POLR2M,LITAF,STK4,INPP1,NIPBL
GAMT,NR5A2,KIF9,ATP1A1,RABEP2,CHCHD5,VSIG4,HDAC6,RASIP1,DNAJC8,CLK4,RARS,PTP4A2,S100A13,ZSCAN18,SYPL1,WASF2,A2M,PRKAB2,C18orf25,PCYT1A,YBX3,TRPM7,SEMA4B,MRPS10,TUBB6,RAI14,ICAM2,NEMF,SMIM3,CYTH1,SPON2
BMPR2,PLD1,G3BP2,KRT19,VRK1,DYNC1LI2,CUX1,BCAS3,CRLF3,FUS,FBLN2,PIAS1,RAB10,SNHG5,LINC01184,HLA-DMA,HSPA9,ID2,KLC4,MTMR1,ARHGEF17,SGK1,KCTD1,D2HGDH,VPS16,ATP13A3,DTD1,VPS26B,EMC7,PRPS1,STK17B,PTPRF
F2RL1,CTDSPL,PHF1,EEF1D,RPAP3,NASP,PPP1R8,KLHL12,GULP1,CWC15,UACA,STK25,EMC4,ANXA1,SLC7A2,BRI3,MAP1LC3A,C19orf53,HIRA,LARP1B,NACC1,MZT2A,COG5,COMMD9,PIP4K2B,PAFAH1B2,PAICS,SP1,RAMP3,PNP,LSM14A,DERL1
PTPRG,PTK2,CMTM8,MYL12B,SPPL3,MRPS18C,OGFOD3,SLC35E2B,HGSNAT,EIF4EBP1,COL14A1,AP1M2,AAK1,APOC1,SLC35D2,NDUFA5,CDC42EP1,ARHGDIB,CD247,MYEF2,TMEM138,EIF5,MLKL,MYO1E,GFOD2,PITHD1,NQO2,TRNAU1AP,IST1,ADPRHL2,SAMSN1,DRAM2
OSBPL1A,IMMP2L,ZMYND8,COL1A2,ZNF609,CCDC124,ABR,PPM1F,MYH10,SLC3A2,MXRA5,TBC1D4,SRRM2,APLP2,PGAP3,CA2,TESC,NDUFB7,EIF4G3,TTC8,PI4KA,PPIG,PIK3R4,CDC42BPB,ABHD5,BZW1,C15orf57,ERAP1,ANPEP,NUP58,MARK3,PRPF40A
AKAP12,CNKSR3,MAEA,NDUFA4,LARP4B,PCMTD1,DENND5A,FER,LINC00882,CIR1,EDNRB,SULT1C2,ANKRD11,NDUFA3,SEMA3C,LSM5,TNFRSF1A,HERPUD1,SCMH1,SLC7A8,ING5,FLNA,HERC4,DPCD,DUSP14,PREPL,SH3BP4,H6PD,PLXNB2,FAM3A,FYN,PSMD6
MKL2,ASXL1,EXOC7,TCEB2,FAM21A,SNF8,BCL2A1,CAAP1,DIP2B,OAZ2,PGF,TLE1,RTF1,HNRNPK,PHF12,PAPOLA,HDAC1,EIF3H,WDR41,BACE1,FBXO38,HNRNPM,TRAK2,KCNN4,BCOR,ITSN2,PHAX,CHKB,YPEL5,OSBPL2,EML4,DERL2
SLC2A3,PDE3A,CHURC1-FNTB,COX6B1,TRAFD1,TMEM9B,COLGALT1,PDPR,AIFM1,CDKN1A,USP7,NR2F2,PRKCSH,SEC61B,DTX2,POLR1D,NSA2,CYB5A,RMND5B,KIAA1324,CDK11B,CPE,UBE2R2,UBE3C,TSHZ1,CNP,MCCC2,SHPRH,SYNPO,PDIA5,PEPD,BAG6
GRB10,FAM171A1,JADE1,COL3A1,TFEB,KLF5,LDLRAD4,DMPK,NR1D2,SPINT1,NEXN,MRPS25,ST13,FXYD5,GAS2L1,FLOT1,MANF,ANAPC16,YIPF6,FAM35A,IFNGR2,ANP32B,WDR12,MYO1D,NAPEPLD,FBLN5,TFPT,UBAC1,TPM3,PRR14,TNRC6B,DDB1
WARS,PDGFC,RNF44,HLA-DRB1,ANKS3,PIGT,UTP6,SLC30A6,TEK,DNAJC19,NID1,AMD1,TM9SF2,IGFBP4,PDCD10,TIMP2,PLAUR,RPS4Y1,SETDB1,PLAGL1,LCOR,PCBD1,CCDC9,VPS37B,PTENP1,DAPL1,TMEM99,SLC27A1,WBP2,IVD,RABGAP1L,PPHLN1
HIPK3,FRAS1,DCTN1,COX6C,BEND7,UPP1,ARHGAP26,SNX19,PAK1IP1,MGMT,AC013461.1,YBEY,MPST,CPA2,SLF1,C1orf43,PLD3,COX5A,ADCY6,TEF,RAB27B,UBE2D2,YEATS2,RHPN2,CHFR,PTPN6,FBXO9,ATXN2L,TEX264,CREB3L2,SH3KBP1,TADA3
LUZP1,FOXO3,GEM,SPARC,DDI2,DYNC1H1,TOM1,MINK1,TAF9B,AIMP1,TICAM1,ZKSCAN1,CHP1,LGALS4,ZNF267,GCC2,DMKN,YWHAB,KMT5A,MDFI,UCK2,PSMB5,RPS6KC1,SHROOM3,WWOX,URM1,IMPACT,JADE2,HSPB11,FZD5,ARF6,POMP
PPFIBP1,CTTNBP2,UNC93B1,HINT1,LZTS3,CISD1,RPS6KB1,SZT2,RRP36,AKAP9,ABL1,ACYP2,IMP3,GMNN,SLC18B1,SERPINB6,AP2B1,SEPT7,CROCC,EPB41L4B,SIAH2,BLVRB,TOR1AIP2,MAP4K4,MARCH8,TCEA2,EFNB2,IP6K1,ITGA6,RARS2,PPP1R2,SLC44A4
WWTR1,SOX6,DUSP11,YBX1,UEVLD,CLSTN1,RAPGEF1,RABL2A,ALKBH3,MTPN,CIAPIN1,TMA16,LMBRD1,NDUFC1,RNF216,MDH2,MRPL32,CAPN12,GCLC,MAPK10,HEPH,NDUFS7,RNF2,ROCK1,DNAAF2,RPS26,RP11-423H2.1,SYNJ2,ADI1,TMEM263,TMEM87A,PHC2
PRPF8,KCNJ15,DDX54,TOMM7,MOSPD1,POR,RHBDF2,FAM179B,KDM6A,TMEM248,COQ5,ZBTB44,PTOV1,LUC7L3,CPNE2,GTF3A,PGLS,AHNAK,PPTC7,MLXIPL,KANSL1,PNLIPRP1,TTC19,LRCH4,PIGX,UBR4,SNX2,VEZF1,FGGY,FAF2,USP34,RGS3
DOCK9,NME7,PPIL3,RPL36AL,USP37,SCPEP1,HCP5,NEDD1,BBS2,RSF1,CHN1,IL13RA1,SDHB,NDUFB9,GEMIN8,ABCC3,CLDN18,SEC11A,DCUN1D4,TBC1D13,HSD17B7,NDUFAB1,FBXO42,AARS,TEX30,AKIRIN1,DESI2,PLA2G10,AZIN1,ARHGEF2,CALR,SMARCB1
MMRN2,RP5-862P8.2,COQ9,RAC1,MSH2,RNF19A,SCYL2,AFG3L1P,MED13,FAM200B,RAB3GAP2,PRKAR2B,VDAC3,CD52,PIGH,LMO7,VASP,N4BP2L2,TMEM254,OLMALINC,SCAF4,CAP1,NSUN6,PSEN1,CDCA7L,FAM114A1,MAN2A1,C5orf45,HAX1,CHSY1,TRA2A,ANGPTL4
MAPK3,ARHGAP24,MPPE1,RPS27L,HSD17B4,DHX9,FOXN3,UBE4B,LRP6,OSBPL9,ZRSR2,CHD3,RAB25,CHCHD10,ASCC3,NDRG2,CSRP1,EIF3L,WWC3,TFCP2L1,SOS1,KDELR1,EXOG,UXS1,LETM1,FAM60A,SRC,RRP15,CMC1,PRKCI,ADNP,ANXA9
ADAMTS9,RAB3IP,DPF2,TFF1,ARID1B,CTSK,MANBA,GABPA,CPD,AKR1A1,ZBTB7B,NFIX,TMEM30A,SPATS2L,SERTAD2,EIF3M,STAT1,PSMA4,GTPBP10,PAPSS2,RCC1,CDH1,ELAVL1,MKLN1,SS18L1,LINC00667,MET,PKIB,SREK1IP1,PKDCC,NAGK,C12orf10
FERMT2,IGF1R,CTSO,COX7A2,KDM7A,DPYSL2,RNF216P1,ALS2,LRCH1,M6PR,KDELR3,STARD3NL,ATP6V1D,P4HB,DHDDS,RAB11B,PLAC8,FCER1G,PDIA4,DZIP3,RP2,ZC3H15,CAPZA2,VCAM1,GTF2H3,SIAH1,TRIM33,ACOT9,KARS,SART3,CCSER2,PHF5A
KIAA0355,ZBTB16,BLVRA,HNRNPA2B1,CDS2,CDKN1C,C10orf11,AK9,ATAT1,COA4,ACTG2,KMT2A,PIN1,SPRY1,GOPC,RSRC2,NDUFV1,SYF2,SBF1,SLC30A8,PHF6,TCEA1,NUBPL,MTPAP,CH507-528H12.1,PDHX,GGA1,CASKIN2,LAPTM4B,BRAT1,CXCL13,SEPT10
RBFOX2,CPEB4,TMEM37,CLIC1,TFB1M,HPCAL1,UBXN2B,TEFM,IL6R,ITGAV,FOXO1,KRR1,NMT1,SNU13,MKRN2,EIF4H,HEBP1,PDIA6,MUTYH,LRRC36,BAG4,ISG20,WIPF2,CLASRP,CASP10,SORT1,NOXA1,PCGF1,FAM96A,DCAF5,TNFAIP8,TAF12
LIMCH1,PCDH17,USP3,SOD1,SHMT1,MARCH6,PRKAG2,GTPBP2,ATAD2B,RNF114,CERCAM,RDH11,C1D,ZFP36L2,NT5E,CD55,SPG21,SRSF7,HERC6,MIR7-3HG,ANO10,FAM133B,DCP2,KLK11,TMEM55A,THOC6,MRPS9,NUDT15,PQBP1,DCPS,HCLS1,WDR45
EVA1C,LATS2,GMCL1,TMEM59,DNAJC16,ATN1,TGFBR1,ZDHHC14,DIS3,ABRACL,ZFHX3,NGDN,EFHD2,SDCBP,PFKFB2,LAMTOR4,KHDRBS1,MGST2,GFOD1,ARG2,QTRT2,CCT8,CEP83,CDA,TSPAN9,SPI1,CPNE8,TACC2,PMP22,GART,BRWD1,PTPA
INSR,CDK14,PRPF4B,IFITM2,CCT6P3,FBXO7,C6orf203,ODF2,ZNF440,ARPC5L,ATP2A2,GBP1,NFKBIZ,SNRPE,ZNF826P,NBPF9,ITGB4,IFI16,FAN1,ZNF211,LHPP,AGR3,RP11-1000B6.3,CLK1,ZNF37BP,ARHGAP1,FMR1,CBLC,CSTA,SHC1,EPSTI1,CORO1C
UBAP2L,SOX9-AS1,ZDHHC6,PABPC1,CC2D2A,XAF1,SLC39A11,ORC5,TNKS,OAT,NADSYN1,TRNP1,HSPH1,CD44,FUT2,PTPRK,MFF,HNRNPF,RNF25,MLLT3,FASTKD1,HDLBP,KLHL8,ESYT1,SMC2,FBLIM1,AKTIP,OPN3,VEZT,DUSP12,UBAC2,GLYR1
KDR,NFIB,TCEAL3,DYNLL1,CMTR1,MRPS18B,CLASP2,FTO,PTPN21,KLF10,AP2A1,UROS,CAPN1,NDUFA2,KATNBL1,ATP6V1E1,CAMLG,NDUFA6,CAMKMT,ABCC8,THRAP3,LSM8,MRPS21,PRKCA,CXorf56,ZC3H13,APOL3,PIP5K1C,ARHGEF12,TSSC1,BCL7B,GIPC1
ZEB1,TEAD1,SUGP2,DCN,PM20D2,XIST,RAB28,RRAGB,ZC3H3,PLAT,COL16A1,MRPL1,TMED3,ATP6V1G1,GPX7,TGOLN2,SNX6,SNRPB,HSDL2,CASR,ANKRD28,LINC01420,ZNF521,MYH14,DLEU1,PMM1,ACE,CCDC84,MAX,FOXK1,CPSF6,SCYL1
SOCS2,KCNQ1,TRMT10C,PRDX1,RAD54L2,GPI,WDFY3,TMEM161B,GRPEL2,LIMS1,MAP3K7CL,USP11,SNHG16,ARPC5,ZNF431,S100A2,ZYX,RSRP1,C16orf52,SERPINI2,RBM4,SMS,GS1-124K5.11,PCDH1,DMXL2,ARV1,PTDSS1,MYO5B,CCDC59,GRAMD1C,MNDA,GRAMD1A
MFAP5,ANK3,SLMAP,NPC2,HACL1,ZMYM2,RCAN3,SPATA7,POLB,NSMCE1,LINC01481,PIEZO1,NDUFA8,ATP5A1,FLI1,CCT4,YY1,ATP5F1,MECR,STMN2,UNC5B,ARL6IP5,MYBPC1,TMEM45B,TMX1,FKBP10,IPO5,NUP85,NDFIP2,CWC22,PPP6R3,PDPK1
CRK,NTRK2,UBE2H,CALM1,AGBL5,STAG2,SBF2,BRAP,NIPA2,SARS,SVIL,KLHL24,PRCP,TYROBP,RP11-33B1.1,RNPS1,MRPL22,CAST,CLCN6,GTF2F2,RAD23B,RRBP1,RPF1,HPGD,FAM53C,MBIP,RBM4B,CCL28,GABRP,IL20RA,MCUB,GSTM4
OSMR,MTMR12,CGN,C12orf75,TRIM37,ERCC1,TCF3,EDC3,COX19,MPC1,TMX3,TIMM44,MRPL47,HSPD1,UBXN8,MVP,YTHDF2,SRRM1,SNX29,SEL1L,STK32C,PAIP2,EHHADH,GLB1,DNAJC24,XRN2,METTL3,LSG1,ETHE1,ACOX1,SMAP2,PAFAH1B3
PTK2,SENP6,SLC39A9,SOD3,EXTL3,PAM,AVPI1,OCRL,MTM1,PDLIM7,PRRX1,NUDT2,POLR2E,HN1,PDGFA,PLP2,UBE2A,KMT2E,NEK1,GABRB3,HEATR1,MMP2,CCNY,STK39,USP46,SMOC2,CDH17,FBXO18,CTNND1,UIMC1,ATF7IP,DIAPH1
