,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
SERPINA5,6.0986965e-11,1.4026647e-10,9.7478275e-11,0.00058771996,1.252931e-10,5.524266e-11,1.442797e-10,7.4416855e-11
C22orf34,0.00016793978,1.3232383e-09,4.321311e-10,1.0227943e-09,9.895355e-10,1.56299e-10,1.3793449e-09,1.9782943e-05
SRSF10,1.0103112e-10,2.2066972e-10,1.6380025e-10,0.00053690095,1.9663417e-10,1.0944507e-10,2.2870779e-10,1.14323086e-10
C15orf52,9.467203e-11,2.4916838e-10,1.7146454e-10,5.7288566e-11,2.2590618e-10,0.0006163821,2.5549649e-10,1.299789e-10
NBR1,1.3816972e-06,4.3937512e-10,3.4983363e-10,1.5346341e-10,3.7977121e-10,0.0006820984,4.569301e-10,2.3715035e-10
RALGAPA2,1.7032051e-09,1.865218e-09,0.002514281,3.3975014e-10,1.5110356e-09,0.0002753993,2.1470536e-09,0.00017076594
NDOR1,1.03432885e-05,1.1200213e-08,1.0051505e-06,3.6799412e-07,8.871005e-09,5.2566115e-06,1.2599874e-08,9.908939e-07
CFAP54,1.2982252e-05,4.1801286e-07,4.759403e-06,5.8323235e-09,2.3896181e-08,4.1063813e-06,4.674841e-06,4.1742645e-05
SUMO2,2.1660098e-05,5.3463307e-08,4.128581e-05,1.46587e-06,2.1037927e-08,2.5138304e-05,3.2028768e-07,3.730943e-09
DPYD,1.0885325e-09,2.8955593e-09,4.2968598e-10,0.00088460086,1.3883429e-09,0.002806746,3.482766e-09,7.3720835e-10
PTAR1,1.3292437e-05,4.7795523e-10,2.948964e-10,1.7295278e-10,4.110577e-10,0.0004001411,4.968792e-10,2.5195268e-10
SAXO2,2.8377593e-07,1.6771545e-09,9.587412e-10,3.1586065e-08,1.4213425e-09,2.1520413e-05,1.61496e-09,5.1078275e-10
PARVB,0.00041076564,2.753412e-10,1.6841194e-10,6.571011e-11,2.4334537e-10,7.955869e-11,2.8586594e-10,1.9666493e-10
TEKT4P2,2.3835937e-06,8.085223e-06,4.9420705e-05,4.364659e-06,7.6170095e-06,1.1302725e-05,5.4855054e-06,4.05589e-06
UROS,0.0003138166,1.5911109e-10,1.1130288e-10,3.692998e-11,1.4257512e-10,6.593169e-11,1.6408136e-10,8.4216044e-11
ZDHHC9,2.4984658e-06,5.335331e-07,4.8244394e-05,3.5149355e-07,8.3531677e-07,1.781743e-09,8.8799825e-06,2.2319695e-05
FAM221A,9.077227e-11,1.9260266e-10,1.4246883e-10,4.6851387e-11,1.7222199e-10,0.0002294423,1.9941059e-10,1.00332305e-10
TMEM120B,3.504162e-05,3.3811446e-07,8.401719e-05,7.4249388e-06,4.039554e-06,3.0150117e-05,6.566185e-06,9.708081e-06
FSIP2,1.2664343e-09,6.2615158e-09,2.3776467e-05,2.0688615e-09,5.897608e-09,1.1608706e-05,7.680173e-09,3.5237862e-09
NOXA1,7.5967e-11,1.8027928e-10,0.00030792327,4.1154545e-11,1.6143248e-10,8.988602e-11,1.8611197e-10,9.253047e-11
SPRED3,1.1921332e-09,2.1651356e-09,1.6798776e-05,3.8036496e-10,1.8765873e-09,2.1325229e-10,2.9015246e-09,1.0732643e-05
PRELP,3.946308e-10,1.5500525e-09,3.7947004e-10,2.6485532e-09,2.1818964e-09,1.3765453e-10,1.4861231e-09,9.8279e-05
MTF1,3.7923946e-05,2.4973715e-05,1.8639079e-05,1.0426252e-05,2.572708e-05,4.004631e-05,3.1678184e-05,2.0565045e-05
NHLRC3,0.0001585198,2.926011e-09,9.805393e-07,9.49771e-06,2.6116125e-09,0.00028758647,2.9531366e-09,2.6763103e-09
ZDHHC11,7.441178e-10,1.980295e-09,1.1409182e-05,1.1185248e-08,1.6391628e-09,1.850922e-05,2.2095834e-09,5.096257e-10
LINC00910,7.074754e-07,4.1777787e-10,2.4909666e-10,1.8308334e-10,3.5844885e-10,0.00026670325,4.3625695e-10,2.2600488e-10
SLX4,6.4756714e-06,8.67462e-09,1.1600068e-06,3.2830297e-07,5.166857e-09,4.1575404e-06,8.975436e-09,3.1284761e-09
RPL14,6.004775e-11,1.3703211e-10,9.5195136e-11,0.0065520145,1.2253992e-10,5.2413254e-11,1.4090036e-10,7.306469e-11
FAM78B,1.2275919e-09,4.0671164e-09,8.54575e-10,5.502438e-10,4.612411e-09,2.1707412e-05,3.9540704e-09,2.2232489e-05
ZNF563,1.5865602e-05,2.9662615e-09,7.2199174e-10,2.9355326e-06,2.6026714e-09,4.450297e-05,2.7171911e-09,1.2170425e-09
FBF1,2.4885558e-05,4.0907872e-07,1.0526501e-05,3.6172598e-06,3.792993e-06,1.7530763e-05,1.9851717e-07,3.3356002e-06
MSL1,1.0237152e-06,1.14842695e-08,1.2309144e-05,1.8183902e-08,6.9570905e-09,2.4013264e-06,2.256971e-08,3.4288883e-09
CTD-3088G3.8,2.567534e-05,7.873927e-07,1.3024527e-05,2.0260961e-06,4.582238e-07,1.1665538e-05,5.5370288e-06,4.4632384e-07
LRRK2,0.00010500317,1.8750952e-09,6.1017597e-10,1.3455865e-06,1.3886898e-09,2.6050855e-05,1.8843884e-09,5.9868005e-10
TRMT2B,6.976685e-05,3.815306e-09,4.225069e-05,4.6275563e-06,3.2084253e-09,3.63624e-05,4.0298667e-09,9.097615e-10
FAM120AOS,2.7044334e-05,6.8997356e-06,3.4712135e-05,4.1051712e-06,4.646058e-06,3.0306044e-05,7.2338817e-06,1.8616126e-07
UTS2B,6.835095e-06,4.063519e-09,1.7726841e-05,3.7638706e-06,3.3614453e-09,2.5735756e-06,4.163692e-09,6.50042e-10
C9orf152,4.5135616e-06,8.656323e-09,6.7172837e-06,4.7438284e-08,4.575382e-09,3.8426326e-10,3.258219e-08,7.4511e-06
NOC2L,6.587209e-06,2.9327705e-06,1.1061481e-05,8.09308e-07,2.9689775e-06,1.2713377e-05,6.0717616e-06,5.993433e-06
NELFB,1.7400791e-05,1.0346633e-05,3.892728e-05,8.578217e-06,3.312283e-07,4.428236e-05,1.1052971e-05,3.7259458e-08
LRRC66,2.6795627e-10,1.5157408e-09,9.05686e-06,2.8539032e-10,1.304964e-09,3.6341753e-06,1.5326544e-09,4.6503043e-10
ZNF292,0.00030805336,1.3732313e-09,2.4760824e-05,8.20202e-06,1.166329e-09,0.00077253854,1.4913962e-09,6.7926476e-10
ADAT2,3.0104004e-05,2.9175848e-09,2.1071527e-09,4.5526792e-07,2.3762046e-09,7.3262618e-06,3.1434235e-09,9.946558e-10
ZNF567,2.8372428e-05,7.4217916e-09,3.0315465e-07,2.112462e-06,6.0673297e-09,1.8061737e-05,7.964637e-09,5.1593134e-09
NDUFA4,5.991126e-11,1.3676628e-10,9.518351e-11,0.0024832855,1.223811e-10,5.2324752e-11,1.4079075e-10,7.286165e-11
ANKDD1B,4.83711e-10,3.445672e-09,3.773026e-05,5.9828625e-10,3.1764518e-09,3.3009313e-05,3.5107244e-09,1.2587665e-09
APOD,6.0068256e-11,1.3712048e-10,9.539034e-11,0.0014627323,1.2267043e-10,5.2385166e-11,1.4120141e-10,7.313538e-11
LITAF,1.4879688e-10,2.3883945e-10,1.6750981e-10,0.00045505655,2.1065209e-10,1.0939602e-10,2.4812033e-10,1.2268166e-10
TMEM120A,6.077053e-11,1.387204e-10,9.641946e-11,3.2212497e-11,1.237439e-10,5.3452107e-11,0.0010831825,7.3861264e-11
ARID2,0.0004174187,2.2826025e-06,0.00017881581,2.8980929e-05,4.1400938e-07,0.00030373826,2.3348719e-05,9.118163e-07
SF3B3,0.00043493955,2.645336e-10,1.9522717e-10,6.270641e-11,2.3740376e-10,1.2206522e-10,2.7315525e-10,1.3953187e-10
PLAC9,0.00068660197,1.5671721e-10,1.1157282e-10,3.6212373e-11,1.4029884e-10,6.2325436e-11,1.6159976e-10,8.3044766e-11
