topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
RAB26,OTUD5,SYNGAP1,RP11-166B2.1,ZSCAN23,CDAN1,C14orf105,ATP1A1
PACRGL,TTC7A,ZNF320,RP11-333E1.1,HCG14,PTRH1,DFNA5,KLKB1
TSNARE1,DNAJA2,TLDC2,PHF13,GMIP,LPAR1,C10orf76,CHMP4C
POLR1E,MAOB,SCN8A,PTGIS,COMMD2,YLPM1,SPDEF,RAB31
PPAT,MAP3K13,MIER2,RP13-401N8.1,ADCK2,SEC14L6,ZNF627,UBE2E1
AC018816.3,ME2,MTERF4,UGGT2,ANPEP,NRSN1,DAPK2,HPSE
GIN1,GMCL1,OGFOD1,PIAS4,ZNF439,SLC15A2,EVI5,SMIM19
PGM3,SLC15A1,KIF3C,CLUHP3,PRELID2,ARL6IP6,ATP2A3,FBXO46
CEP250,PXN,RP11-631N16.2,LARGE2,DIO2,ZFP2,RPS6KA5,ZNF518A
UBE2T,ZNF268,CH17-340M24.3,CHRNA5,LINC01091,TMEM159,YWHAE,CEP97
MED16,SEL1L3,VPS11,SGTB,ZMYND12,MOB3B,GPR63,NPW
CDKL1,MFSD11,PANK1,TPTE2P1,TXNL1,LINC01125,PCYOX1,LRRK2
FEZ1,IL12RB1,CDC25C,MAP2K4P1,CHKB,FAM46B,SIGLEC9,RPE
CHKB,CDC7,THEM7P,FOXJ2,WDR13,PHTF1,ASH2L,PLCG2
POFUT1,XBP1,EOGT,DCLRE1B,ECT2,CDH22,ACTR3B,TMEM116
KLHL3,FERMT1,CENPA,TRAM2-AS1,PTK2B,NRGN,STX17,STK39
ZNF823,ELF4,POLRMT,RP11-162D16.2,TMX4,KDM4B,MRPS5,CCHCR1
CELSR1,PLLP,ANKRD20A11P,DBP,KIF3A,MDFIC,HERC4,MRPL23
ZC3H12D,CCDC114,RAD51,MRPL19,TFAP2A,WDR73,PPP2R2B,C5orf49
SERPINI1,GCDH,UXT-AS1,SEPT8,LRRC1,ZNF85,STC1,HNF1A-AS1
ZKSCAN8,PPP3CB,TCEANC2,NEMP2,ADAMTS14,RAD1,RGS14,POLG2
LINC00909,CCDC6,LINC01122,ZNF425,UQCRC2,ZBTB2,EIF2AK3,RP11-819C21.1
NPIPA1,ICAM2,FKBP9P1,AC093818.1,SS18,GMEB1,ACSF3,RP11-266L9.4
SNX21,GMNN,PLA2G15,POLR3G,FAM177A1,C12orf43,SIAH2,PCAT19
LINC00963,PDE10A,KREMEN1,SUV39H2,TEX9,SNX33,SP140L,RP11-697E22.2
POLH,COX7A2,LONP2,ART3,BAG3,SNAPC4,SPATS2L,GATB
HRH2,LNPEP,SLC24A3,MFSD9,MPPE1,S100PBP,MYO6,UNC13D
MEF2C-AS1,H2AFY,HEATR4,SLC13A3,KLF10,TTC39A,TRIM27,DICER1
SPATA2L,SCAP,FAM8A1,MNDA,RBPJ,KIAA0141,RP1-34B20.21,RIOK3
C6orf136,NID1,FSIP2-AS1,PKIA,THEMIS,FANCM,F11,STK24
BRD9,GBP3,TOMM40,SERF1A,GLIPR1L2,GAS2L1,ANAPC5,C19orf53
DYSF,KMT2A,RP11-69I8.3,LMNB2,ACBD3,ABCA10,NPRL2,UBE2S
CDAN1,SGIP1,TLL2,ADAT2,SNRNP35,PUS7L,HPCAL1,FAF2
RAD1,SATB2,MKKS,ZNF777,ARAP1,C12orf10,GXYLT1,RARRES1
LIN7B,TMEM156,ZNF215,EGFL6,ZKSCAN3,SNX18,THSD4,ZNF831
RPP38,ODF2L,C19orf38,USP2-AS1,CYS1,SEC61A2,POU2F2,PMS2P3
ST7,PFKFB2,DHRS4-AS1,NOX1,SERPINB5,SCNM1,PIGH,SESN2
SAMD9,SNRPC,HIST1H2BE,ZNF200,GATS,C4BPA,RUNX2,UBE2D2
NIF3L1,SH3TC1,SLC6A9,HSD17B6,BRK1,DDX3Y,DMTF1,NUP210
DNAJC7,SDCBP2,SUV39H2,CTNS,TMEM214,C11orf65,SKP2,RFWD2
COL21A1,ASL,C4orf33,PGR,RP11-162D16.2,MR1,GAS2,SAR1B
RILPL1,PLA2G5,RP11-30K9.6,SATB2,RP11-333E1.1,PAPLN,PPP1R32,TKT
DIS3L,POLN,NSUN7,RBM18,CDC6,C2orf47,MED30,PGRMC2
SPNS3,MRPS25,ZDHHC23,BRD3,CPSF6,NRCAM,PDCD6IP,FMC1
ZNF445,SNRPA1,ZNF226,IBA57,PKN1,FAM157C,CSGALNACT2,LEO1
CENPQ,C19orf12,MYEF2,ETV5,THRA,PLD2,INCA1,HEXIM2
LINC00886,RBM38,ARID1B,RP11-514O12.4,ALPK3,ANKS6,MFAP5,ASPSCR1
SLFN12,POMP,CTD-2007H13.3,CTD-2192J16.20,UBP1,PBX2,MYCBP2,EFCAB12
CREBZF,KL,LINC00939,KHK,MEGF11,GAD2,BRD8,MEX3C
SOX2-OT,GRHL1,LPAR3,GRIP1,COL1A2,POMT2,A4GALT,SEPW1
ZNF212,OSTF1,ZNF707,ATG16L2,WRN,MORC2,PPIL1,AFMID
ZBTB24,GOLM1,FANCM,MSANTD4,UBE2E2,ZSCAN31,SSBP2,ZNF461
ANOS1,ADAM19,LPAR1,ZNF442,HLA-DRB5,OLFML3,SIK3,RNASEH2B-AS1
ASTN2,UGT2A3,MCF2L2,MIPEPP3,ZNF268,ZBTB41,PPP1R16A,CTD-2132N18.3
XIAP,ANKRD6,RP11-79N23.1,ABCA17P,SIGLEC9,SNHG23,NOD2,TAF15
KIF3B,KHDC1,NEURL2,CCT6B,FAM21C,ATAD2,C2CD2L,HS3ST1
NSUN5P2,COG3,SPATA21,TRIM65,UPP1,GPBP1,ZDHHC24,MPHOSPH9
UBE2Q2P2,BZW2,CACNA2D3,PTCSC2,ZFYVE26,LINC00863,ZNF502,ASPM
CEP57L1,MRPL47,PDE12,LINC00461,CCDC61,L2HGDH,COL27A1,PPP2R2C
MKKS,NIPSNAP3A,RP11-7O11.3,L3MBTL2,C2orf42,BCL2L12,AKR1B10,UIMC1
EARS2,ARRB1,NTSR1,NEURL2,KIAA1324,DAXX,GYG2P1,ACTR5
ERAL1,PAQR5,NEU3,ZNF575,RLIM,LINC01315,RP11-432J22.2,SMARCA1
DRAIC,GTF2A2,ATG4D,CTC-281M20.1,CPT2,ADAMTSL3,RAD51-AS1,CSF3R
BUB1,WDTC1,FNDC4,RP11-267M23.4,METTL15,SCG5,HEBP2,MED18
MTHFR,CAMKMT,FKTN,GRIN2D,HSPA4,HM13,CS,MPRIP
MKNK2,RALB,TENM4,AC025335.1,F5,RNF152,CASP8,PLK4
ITGA9,UBA3,TNFRSF19,MMP25-AS1,ARFGAP3,ZNF606,ICK,SETDB1
FAM149B1,FAM105A,CENPC,DHDH,SGK223,ZNF676,SSR3,SH3GLB2
HSDL2,LHFPL2,HSDL2,BYSL,GNA15,ACPP,CDCA8,CD96
NEDD4,BTF3,NOMO3,IGSF21,DNAH6,RP11-488L18.4,ENTPD6,FBXO36
PLCB2,HMGCLL1,CWF19L1,MMACHC,AMD1,ARSA,C6orf136,GPBP1L1
MORN3,SLC18B1,LYRM7,AP1S3,MSI1,ARMC7,MGAM,SPC24
BYSL,GIGYF1,TNFSF15,MMP16,BRCA2,MTR,ABCA7,LMBRD2
TFE3,RSU1,LINC00240,RDH13,FN3KRP,QRSL1,CCDC113,MIOS
PLCD1,FAM13C,PLEKHG3,ZNF526,STOM,BMT2,STAG1,TTC8
NFYB,PAK1,ADGRA3,SIPA1L3,YWHAZ,NCAPG2,GTF3A,RPL27A
ZNF175,CNKSR2,RLIM,SPNS3,MFAP3L,PLCXD3,NCKAP1L,TM4SF4
IPP,FOXO1,RP11-400N13.3,ALPK2,HEXB,NME9,PIGT,NRXN1
RP11-255H23.2,SERP2,APLF,LINC01359,VRK3,CNTN1,PLVAP,SESTD1
ASB2,FAM168B,OSER1-AS1,RP1-92O14.3,FAM32A,PXYLP1,SFTPD,POM121
ANKRD23,PDK1,PDHB,IFNG-AS1,FBXL4,RP11-110G21.1,GEM,MEIG1
NEB,CARHSP1,ALOX12P2,RP11-588H23.3,CD58,NXNL2,HID1,NOL8
ALOX15B,TSC22D3,RP11-111A22.1,SEC31B,DDX54,SIDT2,SDAD1,RP4-655J12.4
NAA40,PSMG3,TRPV3,NRXN2,PALLD,DPP3,LCMT1,GAS5
AL163953.3,SLC37A1,TIMM8A,C21orf91,SNX9,TFAM,THEM7P,LINC00969
ULK1,PDXK,HEXIM2,SLC37A1,ATXN10,UNC50,NPIPB11,CTD-2012K14.6
DNA2,SAFB,CACNB4,PLPP7,ADAM10,ZNF620,RP11-539G18.3,DDX52
FAM131A,ZYG11B,KMT2B,TRMT12,GABPB2,CSRNP2,RP5-882C2.2,TRG-AS1
TACO1,GBP2,EFCAB5,WHAMMP3,AIMP1,CCDC173,DACH1,RUNX3
RIC3,CDCP1,MFAP3L,CCDC134,FAM96B,PELP1,SLC2A3,FOXP3
RPUSD4,NSA2,DCP1B,PSPHP1,LHFPL5,CTD-2007H13.3,VSIG1,TBX21
RP11-803B1.8,CDCA7L,ZNF786,HMGA1P4,ZNF461,ZNF675,ATP2B1,MYH7B
RAD51-AS1,ZNF704,FRG1GP,XXbac-BPG181B23.7,CANX,ANKRD36,PROSER1,AC013461.1
CCDC159,KIF27,LINC00461,SLC4A8,WDR25,PHTF2,CENPK,GTPBP1
ATG9A,PHYHIPL,CDC42BPG,CCDC15,MTMR1,TMEM138,LDHA,EIF3D
ATRIP,CYB5A,U2AF1,FAM122C,METTL4,DLGAP4-AS1,SLC15A4,MAN2B1
TNIP3,RGS14,TMCC1-AS1,CARNS1,COPZ1,RP13-131K19.2,CDAN1,SLC6A4
TMIGD2,PGAM1,WDR76,POU6F1,THBS4,CDK5RAP1,ILDR1,LRP2BP
ZNF208,PLRG1,RP11-114G22.1,RP4-798A10.2,EPB41L4A,LINC01128,CCDC15,CACYBP
CTAGE5,RRM2,ZFYVE21,LINC00884,PPP1R1B,C5orf22,TMEM154,PEX1
MAP4K5,USMG5,INCENP,DUOX1,SHPRH,TMEM53,TNKS,COX7B
ATP5S,ADCY6,PAN2,ZNF783,FRMD4A,CRACR2A,PBX2,ERAL1
TIPIN,TNK1,DPY19L2P3,POLN,LRRC36,RIPK4,ZNF468,MRPS9
RP9,ATP2A2,RP11-174G6.5,GID4,ZNF230,RP11-423H2.1,ALOX12-AS1,PLCB2
STAG3,PTDSS2,TTC5,ZNF540,FSTL1,DDA1,RP11-1060J15.4,SURF1
RNF20,ANKLE2,CMYA5,ZFPM1,NUDT13,DEGS2,STX1A,ESYT3
MBTPS2,UBE2E2,RP11-536O18.1,MDS2,TBC1D2B,PLEKHG3,VSIG4,FAM207A
RP11-61L23.2,ANXA2,LINC00598,KCNMB2-AS1,EFCAB5,STK32C,EPN1,TMEM43
SYT11,RTN4RL1,RNFT2,ERICH6-AS1,SULT1C2,ADAL,ATP1B3,TNK1
SLC24A3,LRRK2,ZNF575,LINC01024,AC073043.1,PROX1,MTIF2,AP1S2
AKAP1,MPHOSPH8,SCYL2,RP11-624C23.1,RP11-545I5.3,EHD2,HMOX1,TRAPPC6B
ZBTB34,SULT1A2,C1orf109,SARDH,RP11-779O18.1,TMEM242,HIF1A,TOP1MT
UMPS,SPTAN1,ANO8,FAM161B,LINC00672,IQCD,TSC22D1,WDR53
GTPBP8,ELOVL2,ZNF321P,TET2,ZNF561-AS1,UBFD1,OGDH,SRSF10
GTF2I,RP11-347C12.1,CTD-3092A11.1,RP11-30K9.6,CD59,SPATC1L,SC5D,CTD-3088G3.8
ZNF620,ZNF69,LYSMD4,TTC7A,SRRD,ZNF75D,NDUFS7,TCTN1
DTX4,CCDC69,SLC15A2,DDHD1,ATP7B,C1orf112,PRKD3,STK38L
FUNDC1,RASSF9,HSF2BP,MIER2,HOXD3,RP11-867G23.8,SCAMP3,ALOX12-AS1
CERS2,SERPINB5,MYT1L,EFCAB5,MMAB,SPTY2D1,RNF146,GAS1RR
BNIP1,RP1-101K10.6,FBXO41,ZNF239,TTC39B,LINC00885,MORF4L2,KCCAT211
ANKRD19P,PPP5D1,SLC36A1,RNF217-AS1,KIF27,ETV1,OVOL2,RAB30-AS1
HEMK1,DLEU2,WDR62,SNAI3-AS1,KLHL28,ZCCHC3,PIN1,RP11-16B13.1
PDE7B,RAP2C-AS1,PDCD6IPP2,RP11-428J1.5,DNAJC19,TOLLIP,NSUN5,SMC5-AS1
OSER1-AS1,LINC00299,CEP41,EHD3,IDNK,CNTN3,ZSWIM3,MGST1
TMEM216,AC002454.1,RP11-438L19.1,GALM,ABCA3,PRMT5,UBQLN1,DSG2
SIAH1,LINC00926,PMS2P1,GATAD1,GNG4,PKIB,TSGA10,CLNS1A
PTAR1,CTD-2516F10.2,SPRYD7,RP11-174G6.5,MAN1B1,AAAS,BZW2,DYNC1I2
WDR35,RP11-111A22.1,E2F7,DHX33,C12orf42,RP11-727A23.10,FTO,CDC14A
EVI5,CLDN18,WHRN,ANKS1A,LRRC66,CTBS,TTC13,SIRT4
RP11-473M20.9,IPCEF1,ADAMTS17,CAD,SQLE,GPC4,RBMX,PHGDH
TEC,CDC25B,CARD9,SSC5D,USP42,RP11-166B2.1,CEP112,MIEF1
DEDD,ACTR5,HABP4,ZNF79,DDX6,NXN,GTF3C6,OLFM4
ZNF347,SMPD3,AP002884.2,MYO3A,MIS18BP1,EDA,APBB2,TJP1
FNIP2,ANXA13,ATG4C,AHSA2,COPS4,LINC01122,SGSM1,SLC39A14
GTF2IP20,PARP11,FYCO1,ZDHHC9,PSTPIP1,C5orf49,ZNF608,PRKD2
RP11-1114A5.4,TGFBI,IL12RB1,UBL7-AS1,HMG20A,NOTCH3,CCS,TAF6
CTIF,PDZRN3,WDR17,CLTCL1,RGL1,SULT1C4,SRRM3,DARS
PSMG3-AS1,ATXN1,NMNAT1,CYP4B1,NPAS3,SALL4,TDRP,PRDX1
CTC-338M12.4,SEPT6,PLEKHA8P1,TAF5,C9orf85,RP11-111H13.1,PLSCR1,MBOAT7
CACNA2D3,CCDC102A,SLC16A9,MOV10,FAM126B,SLC48A1,MAOA,BCL11B
HSD17B7P2,TDG,DRG2,C21orf33,FAM122B,SMOC1,SNHG5,WBP2
C19orf48,GULP1,CLCN2,ZNF160,ZNF19,TAF6,FIS1,VSTM2L
PTGDR,RNF180,RAP2C-AS1,AC005592.2,ELK4,RPF1,ITGA9-AS1,PRAM1
HTR7,SOCS6,RP5-991G20.1,RP11-640N20.6,SPATA17,HABP4,CTD-2269F5.1,VTCN1
LRRC23,CEL,UTS2B,CTC-559E9.6,NFKBID,C21orf62-AS1,HIST1H2BE,ESPL1
FBXO8,ATF7IP,SWSAP1,LHFPL4,TSNARE1,PROSER3,RBM6,KLHL36
SIGLEC1,PQLC2L,CCDC73,KCTD6,ATR,TELO2,SAMM50,TTLL7
TENM4,TSHZ2,FAM219A,NEAT1,DCTN2,TMEM184B,PSMD11,NEIL1
PI4KB,ZSCAN23,CNEP1R1,RP11-1007O24.3,ZNF708,AC010967.2,STC2,TOB1
RNF126,FAM3C,FBXO45,ELN,CBX6,SLC25A38,WDFY4,WDPCP
RNF175,S100A10,SBDSP1,FAR2,FAM221A,TRIM35,USP20,GOLGA4
LINC01358,MICB,ZPR1,TMPRSS11E,INPP5F,RP4-559A3.7,FAM134A,EPS8
DNTTIP2,RP11-110G21.1,SLC7A6OS,STK25,TYW1,TESMIN,SGCB,ANKRD40
ZNF280C,RP11-557H15.4,SNX18,PYROXD2,LINC00511,ZNF224,KLKB1,SON
CCP110,CTC-242N15.1,ZNF460,CDHR3,LINC00864,AC105760.2,CTD-2201E18.3,PPM1K
LRCH2,RP11-356I2.4,NUP88,CYP27A1,MIR155HG,MINA,COX10-AS1,PRRT3
RP11-536O18.1,RP4-605O3.4,TRMT12,WDR93,BHLHE40-AS1,ZNF318,FYN,SLC6A20
TMEM229B,SOCS7,SUPV3L1,UNC45A,APOBEC3G,MYO5B,CAPN1,MON1A
LINC01128,MARK4,CKAP2L,GNAL,MEOX1,HELLS,NCAPH2,NSD1
RP11-759A24.3,MARCO,TNFSF11,TDH,CASR,GPR107,CDK14,CCT2
CLSTN3,TRIO,CDH26,LYPD5,TBC1D22B,CEP97,TIE1,PAFAH1B2
FUZ,PPP1R3F,DDX20,CECR7,RASSF1,GPATCH4,UBE2K,NRG4
POC1B,SLC6A16,SERPINB8,AP000476.1,TSC2,GPN2,NDUFB2,EMB
DIRC3,TAF11,CDH19,UXT-AS1,SLC7A1,ADAMTSL1,CHRDL1,MLLT3
SC5D,DGKA,SLC13A3,RP11-403I13.8,PCCA,CASP3,UBR5,RRM2
LINC00665,ATXN3,RP11-480I12.5,ASB7,ZHX2,RNF219,DUSP4,UBXN2A
CTD-2007H13.3,RORA,NAGK,MIRLET7DHG,NEAT1,KIF3C,SH3BGRL,ASPHD1
RAB37,MPP5,RP11-513I15.6,LEF1-AS1,CTD-2297D10.2,STK31,GIMAP6,LYSMD3
AMPH,STK10,ADGRL1,PIAS1,LSM14A,METTL2A,MRPS36,LPCAT4
ABCD3,ACAT1,PTCSC2,APOBEC1,DMC1,SF3A1,CD164,FGD6
DVL2,FAP,BFSP1,PTPRO,PGK1,ZNF528,AK7,RNF182
ZNF155,SLC1A3,FBXW2,SDHAF4,CCDC113,CALR,FN3KRP,NCF1B
C19orf38,ATRX,CAPN10-AS1,SRSF12,CEP72,MRAP2,OSBPL10,KLHL32
ZBTB5,UIMC1,LRRC8E,PHKG1,TAF12,CCDC144B,SURF4,CMC1
DOCK3,ASAP3,TRIM45,ZNF257,SERPINB6,ST5,MERTK,ARL9
TMEM87B,GOLGA3,FAM200A,OOEP,RIDA,POLE,SPON2,SGMS1
STRADB,HECTD1,CTD-3131K8.2,ALOX12-AS1,DCTN4,HNF4G,ZNF577,SAMD13
PES1,TOP3B,PDE11A,AC018647.3,APH1B,POLR2D,GMPS,LINC01420
MMD,TOM1,RCAN3,SDE2,IRF8,WDR93,YWHAB,AC074289.1
RP11-557H15.4,PIGH,TMEM184C,RP11-362A9.3,SIGMAR1,TBC1D7,MLKL,DANT2
KDELC2,N4BP1,C12orf10,DHRS11,PLEKHS1,ZNF385D,CDC42BPG,AC002454.1
CCDC117,SGK3,PRELID3A,KIAA1683,HPS3,F10,DRC3,ADAMTS9-AS2
TXNDC12,TJP3,LINC00649,C11orf70,SLBP,RILP,PHYKPL,SRP54-AS1
DPY19L2,CHRNE,IL17RD,CENPO,POC1A,RBM43,SAMD9L,LINC01569
ATP2C1,MANBA,PKIA,VPS39,BRWD3,CTD-2297D10.2,GRB2,RP11-166P13.3
ARSK,UBE2D3,SYT7,GLIPR1L2,RHEBL1,KLF11,PYCR1,MTMR1
DUSP14,ASCC3,CHRDL2,FAM186A,ZNF554,ALG14,IRAK1,NDUFB4
FAS,ALDH5A1,UBE2S,AC093901.1,ATOX1,MMAA,ZNF385C,PKM
RP11-111A21.1,ATP6V0E1,ANKRD26,ZSCAN22,C1S,RHBDD3,SPRY4,CPSF1
RP9P,UBE3A,FAM83F,PMEL,AHNAK2,TANC2,ENTPD3-AS1,CHFR
CD163L1,SSR3,TMEM183A,SMURF1,SHISA9,NECTIN3,RP11-254F7.2,CHD8
ZWILCH,SLAMF1,ZNF691,AP001626.1,RP5-1085F17.3,ATP8A2,CDK5RAP2,FZD3
COG1,MSANTD2,FHL3,TPTEP1,CRLF1,RGPD8,CLTC,KLHDC4
TSPOAP1-AS1,SOCS2,RP11-1275H24.3,CPT2,ANAPC5,THOP1,SLC47A1,PACRG
ZNF367,LAX1,ZKSCAN8,CATIP,PRIMPOL,APBA1,SIDT2,LY86
RP11-632K20.7,CPSF3L,AC003991.3,MYL3,RP11-727A23.5,PDZK1,MEGF11,HMGCR
TTTY10,RPAIN,HYOU1,CCDC8,CTD-2135D7.5,RP11-295K2.3,VPS72,GPD2
CTC-242N15.1,SLC6A6,CCDC117,LRRC8E,TIMP2,ZNF468,WDFY3,KCNQ4
FAM89A,RFX1,ADPRHL1,LHFPL5,RASGRP2,ZNF445,DDX11,EBPL
ZNF880,WASF3,RRM1,PKHD1L1,JAK2,RUBCNL,SLC45A4,PRPF38B
IKZF5,HSD17B4,PKD1,AC007563.5,KLF3,FAM160B2,COL9A2,TMEM261
TESPA1,SDS,QSOX2,RP11-266L9.5,ZFYVE27,ZNF446,POLR3E,LPCAT1
OTUD3,POLR1E,MCOLN1,RP11-370I10.12,ABHD18,CLDN12,DGKG,CNOT11
COMMD5,MNS1,ACRC,PDAP1,AXL,ZNF212,FBXW11,TMEM246
SLC25A19,LNX2,RP1-92O14.3,TTC8,CCS,CLCN4,SEMA5B,NEMF
L3MBTL4,C14orf79,RBBP9,ZNF180,DNASE1,SYT7,SPG21,SCG5
SGPL1,PML,APOBEC3A,TNFSF15,SGMS1-AS1,KCNMA1,RANGAP1,NFXL1
AE000661.37,TAF4B,C21orf58,RBM20,RP11-81H14.2,TTPA,TPD52L2,EIF2S3L
MPP6,CNKSR1,TOP3A,RP11-459F6.3,MIR100HG,SPATA33,POLK,CEP63
ZNF674,CD53,MYBBP1A,PKD1,LINC00662,MAP4K4,MOCS1,RPS27L
CDKL5,ENSA,SLAIN1,TOX4,PRKCH,MCM3,MAP7D3,C19orf68
TOP1,C1orf35,RP5-864K19.4,TRIM9,PI4K2B,RP1-78O14.1,DPP6,LMLN
RP5-882C2.2,TBC1D32,KRI1,BFSP1,HNF4A,FAM234B,DDB2,ESRRG
OLFML3,FAM49B,FAM13A-AS1,ADAMTS8,KLHL18,FAM153A,ATP6V1G1,MVB12B
EMBP1,AZIN1,HAUS5,SNED1,ESR2,MPRIP,SCAPER,CTD-2587M2.1
UBIAD1,PSD3,CPAMD8,PLK1,PRDM11,RIT1,PRDM16,SORD2P
SGO1,KCNMA1,LINC01505,ADAM9,LIMA1,TMEM136,NXPE3,RP11-326I11.3
STS,BRE,ZGRF1,ANO5,USP40,TGDS,SLC10A6,ST3GAL1
DDX20,CATIP,KCNJ6,RP11-513I15.6,SUCO,ZNF354B,MFSD14B,NOP58
AFF4,HLCS,USP13,RP11-305L7.1,HIF1A,RIOK1,HMGA2,ZNRD1
ARSA,LMNA,HMMR,AP006621.5,ZBTB16,TAF11,FER,ENO1
RRAGD,AZGP1,PHF7,CACNA2D2,PLEKHG1,ADGRV1,AKR1C2,CCNK
SMG1P4,USP24,RP11-798M19.6,UBR5,SERAC1,CUL9,SDHAF4,PLLP
LINC01504,TSC1,RP11-111M22.2,MSL1,PRMT1,RAB21,MAGOH,KAT8
THG1L,TBC1D2B,ZNF14,RP11-443B7.1,EPRS,ZNF300P1,FAM102B,TFEC
TDP2,MLKL,CDK2AP1,KCTD21-AS1,KIAA1644,PDAP1,SCG5,LUC7L3
CCDC134,ZBTB43,ZNF77,LINC00964,RNF111,MKL2,CYB561D1,OCIAD1
R3HCC1,TSNARE1,PRMT9,MAP3K9,PMVK,LINC00265,ABO,SGK1
SHPRH,CES4A,DNHD1,ISL1,GATAD2A,TMEM237,TMTC2,ASH2L
POLRMT,RP11-404O13.5,ITGAM,UBE2K,ZNF444,ADCY10P1,CIITA,ZNF767P
PXN-AS1,SEC24C,RP4-665J23.1,CCDC113,LDLRAD2,SEC22B,CREB3L2,SARAF
MPP5,STAP2,BMF,LOXL3,NUP62CL,KIAA1549,COL14A1,TPP2
PABPC1L,C12orf60,DNAH7,PLXNA3,TMEM229B,ATP23,RP11-550I24.2,TPMT
TMEM268,KCTD16,ZFPM1,TTPA,RP11-497E19.1,VPS18,RP11-370I10.12,ANKRD42
PPID,MYO6,SKA3,LEO1,RP11-134G8.7,ZNF630,AC131056.3,PAK6
CACNA1A,LAMB3,POC1A,ZNF404,LINC01359,LRRC8E,PIK3R6,GPN2
CCDC112,ZNF470,TCP11L2,ZMIZ1-AS1,RBM26-AS1,RPARP-AS1,HNRNPC,CCDC120
JSRP1,CFAP43,RP11-98I9.4,LINC00672,C12orf4,RBBP4,UBE2I,AK3
TNFAIP6,MCMBP,RP11-111M22.3,CXorf57,CDC45,FOXK1,SGCE,CFDP1
GNAO1,ZNF442,RP3-414A15.10,SLC35G1,KDELR1,PPIP5K1,PUM1,AGPAT5
RP13-104F24.2,ITGBL1,ADGRV1,MCMDC2,CAV1,VLDLR-AS1,GALM,SPON2
ZNF90,STK39,ALS2CR12,C5orf64,SLC9B1,DHX33,CHMP7,PCMTD1
MAVS,POU5F1,GATA2-AS1,MFAP3L,IRF2,DNAJC22,ACSL1,DFFB
UBE2D4,ZNF337-AS1,TATDN3,LINC00458,RHOG,L3HYPDH,MZT2B,CLSTN1
LACTB,TENM3,RAB36,CNTN3,THUMPD3-AS1,TMEM38A,NEK10,PC
SDCCAG3,AC018647.3,SLC38A7,TTC9,RASSF8-AS1,CEP72,WNK3,PELI3
TFAP4,FLJ27354,TMEM232,FGF18,ZNF195,TRAPPC6B,AC023115.2,IRAK1
SDHAF4,RP11-680B3.2,SRRM3,ZNF606,SLAMF7,DHX16,CTD-2516F10.2,PLA2G6
ETAA1,CTD-2587M2.1,PTCHD1,ZNF16,MED29,RP5-991G20.1,FAM136A,LITAF
LAMTOR5-AS1,RP11-114G22.1,GCDH,TMEM51-AS1,LYZ,ALAS1,EZH1,FAM83H-AS1
ZNF707,CH17-472G23.4,ZNF239,WDR6,AC013461.1,TMEM216,KDR,UQCC3
FBLN2,TBXA2R,LINS1,MAFG,CWF19L1,XPNPEP1,PHF11,SFT2D2
BPNT1,PUM3,MAP3K6,ANKRD18DP,TNRC6B,RBM18,SEMA6D,WTAPP1
LINC00847,MOK,TRIM39,ASB14,MYH3,GCOM1,SH2D6,RP4-559A3.7
C11orf80,HSPB11,ITGB7,RP11-115J23.1,TNFAIP3,SMG1P5,MPP3,AQP4-AS1
MKS1,P2RX7,MILR1,CTD-2547G23.4,KLHDC10,RPAP1,ORC5,CACNB1
NUDT22,PEBP1,GAS2L1,PRDM5,TOR1A,GPAT4,RALGAPB,NUP37
CTD-3092A11.1,IRAK3,GATAD1,PPP6R2,CNOT6L,RP11-166P13.3,CNTNAP2,BCL7C
FBXO45,NLRP1,DCTN1,NRK,C11orf49,ZNF214,C10orf107,AP1B1
MEMO1,BCL2L13,C3orf67,KCNC3,AZGP1,DGCR8,SOX2-OT,PPARGC1A
TPTE2P5,PCNX1,PEX11G,LGR6,OLFML2B,MOB2,MEF2C-AS1,PRPF3
EBI3,SYTL4,TMSB15B,FAM129A,PBXIP1,MKKS,RUFY1,CENPF
HOMER1,ZNF423,SLC27A2,ALS2CR12,URM1,TUBBP5,AGPAT4,GRIA2
RP1-234P15.4,IMPDH1,PMS2P3,C9orf64,MN1,BRI3BP,RERGL,TEX11
SLC25A25,PIP5K1B,AC093590.1,SMIM2-AS1,RAPH1,ART3,VDR,ZNF45
KIAA0825,ARHGAP21,FAAP100,RP11-367N14.2,UCP2,ZFYVE16,GRB14,CMPK2
TSHZ3,CPT1A,C8orf34,AURKA,CHID1,PPP1R14D,SIPA1L2,PPIL1
CPAMD8,MLEC,RP11-10C24.3,HTR5BP,ZNF814,ARAP2,SENP5,LARP1B
ZNF34,CACYBP,TACR1,QRICH2,INTS6-AS1,SBK1,FGD3,PGD
ADAMTS10,TREH,ZNF280B,PRRT3-AS1,UBAP1L,MED15,GOLM1,RABL3
KLF6,KDM3B,EPHB1,NAIP,ARHGAP15,ZNF382,NVL,LACTB2
EPM2A,TBC1D5,ERICH6-AS1,OSBPL7,SNX10,ACVR2B,MED12L,RMND1
WDR76,NR1H2,LRRC4B,ST6GALNAC5,SLC8B1,CEP57L1,NAF1,PPP1R9A
CHI3L2,CHSY1,ZNF93,CNR1,CDV3,CERCAM,ZNF827,ZNF276
