,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
CD38,6.211503e-11,3.4314318e-10,6.985902e-10,4.2454634e-10,8.3643475e-10,1.5071835e-10,3.0408223e-10,3.5966788e-10,4.4008214e-10,8.2734614e-10,2.6301017e-10,3.444599e-10,5.7083612e-11,3.2768313e-10,1.4699912e-10,6.2938416e-10
RBM6,6.211503e-11,3.4313663e-10,0.0033882577,5.1503535e-10,8.36229e-10,1.507172e-10,3.040567e-10,3.5966788e-10,4.665541e-10,8.2727836e-10,2.6300817e-10,3.4446057e-10,5.7083612e-11,5.452739e-10,1.4699912e-10,6.29389e-10
CAMKK1,6.211503e-11,3.4315104e-10,3.4558192e-10,4.719078e-10,8.3640284e-10,1.507172e-10,3.040915e-10,3.5966788e-10,4.411183e-10,8.2736507e-10,2.6300867e-10,3.4446124e-10,5.708525e-11,3.2769254e-10,1.4699857e-10,6.2938177e-10
RECQL,6.21155e-11,3.4322303e-10,4.3460008e-10,5.6853183e-10,1.0086711e-09,1.5071433e-10,3.098503e-10,3.609365e-10,4.4749443e-10,9.958441e-10,2.6321392e-10,3.4654563e-10,5.7216818e-11,3.2777506e-10,1.4700978e-10,6.4616545e-10
VPS50,6.211503e-11,3.4314185e-10,3.4035205e-10,4.2454554e-10,8.37054e-10,1.5069938e-10,3.0408862e-10,3.5966788e-10,4.4008633e-10,0.0019471996,2.6300767e-10,3.4446124e-10,5.7083612e-11,3.2822298e-10,1.4699857e-10,6.294262e-10
NDUFAB1,6.211503e-11,3.4314904e-10,3.4035205e-10,4.2454879e-10,8.364204e-10,0.003335031,3.0407873e-10,3.5966854e-10,4.4008297e-10,8.2736035e-10,2.6301017e-10,3.4446057e-10,5.7083612e-11,3.277219e-10,1.4699857e-10,6.293794e-10
SLC25A13,6.211503e-11,3.431497e-10,3.4906716e-10,4.268873e-10,8.364794e-10,1.5072642e-10,3.040915e-10,3.5966788e-10,4.623921e-10,8.2734614e-10,2.6300867e-10,3.4446124e-10,5.7083612e-11,3.277269e-10,1.4699912e-10,0.0019168328
ST7,6.2115264e-11,3.432178e-10,3.437209e-10,4.834361e-10,9.974486e-10,1.5072181e-10,3.0410832e-10,3.6050718e-10,4.592122e-10,1.0262237e-09,2.630157e-10,3.444901e-10,5.7334585e-11,3.714957e-10,1.4699969e-10,6.7846456e-10
CDC27,6.211503e-11,3.431471e-10,0.0016670353,5.7505795e-10,8.363693e-10,1.5069278e-10,3.0407643e-10,3.5966788e-10,4.4008297e-10,8.273509e-10,2.6300767e-10,3.4446124e-10,5.7083612e-11,3.2775255e-10,1.4699912e-10,6.29383e-10
DVL2,6.2115264e-11,3.431641e-10,3.5218356e-10,4.2455445e-10,8.835573e-10,1.5072009e-10,3.040996e-10,3.598394e-10,4.4009305e-10,8.8504826e-10,2.6302374e-10,3.447695e-10,5.719303e-11,3.447583e-10,1.4699969e-10,6.415859e-10
PRSS22,6.211503e-11,3.4314254e-10,3.4035205e-10,4.2454473e-10,8.3637564e-10,1.50708e-10,3.0408395e-10,3.5966788e-10,4.4008297e-10,8.273304e-10,2.6300967e-10,3.4445857e-10,5.7083612e-11,3.277819e-10,0.0006809509,6.2938416e-10
UPF1,6.211503e-11,3.4314904e-10,3.4035205e-10,4.2454554e-10,8.3645546e-10,1.5070484e-10,3.0404568e-10,0.0016191874,4.4008214e-10,8.273162e-10,2.6300817e-10,3.444599e-10,5.7083612e-11,3.277569e-10,1.4699857e-10,6.293794e-10
SKAP2,6.211503e-11,3.4313663e-10,3.7497253e-10,5.2739085e-10,8.3630075e-10,0.00086183514,3.040799e-10,3.5966788e-10,4.4008297e-10,8.273541e-10,2.6300967e-10,3.4446057e-10,5.7083612e-11,3.2770817e-10,1.4699912e-10,6.293794e-10
MCUB,6.211503e-11,3.4314185e-10,0.0022116601,4.2454634e-10,8.363103e-10,1.5071779e-10,3.0405495e-10,3.5966788e-10,4.4008214e-10,8.27332e-10,2.6301067e-10,3.4446124e-10,5.7083612e-11,3.2773942e-10,1.4699857e-10,6.2938055e-10
DHX33,6.211503e-11,3.4315234e-10,3.461552e-10,4.456835e-10,8.7951185e-10,1.5071433e-10,3.040561e-10,3.5968092e-10,4.486396e-10,8.790926e-10,2.630117e-10,3.444678e-10,5.713568e-11,3.403923e-10,1.4699912e-10,6.4395456e-10
